duracion,station_A_id,station_A_name,station_B_id,station_B_name,id_cicla,edad,usuario_tipo,año_nacimiento,genero
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,2426,61,2,1983,Male
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),5484,27,2,1986,Female
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,4945,53,1,1987,Female
9 minutes,21,Montgomery St BART Station (Market St at 2nd St),81,Berry St at 4th St,5162,49,2,1986,Male
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),5371,55,2,1988,Male
10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),8,The Embarcadero at Vallejo St,4774,38,2,1988,Female
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),5149,22,1,1990,Male
8 minutes,22,Howard St at Beale St,9,Broadway at Battery St,2262,37,2,1959,Male
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,4967,37,3,1990,Female
5 minutes,21,Montgomery St BART Station (Market St at 2nd St),37,2nd St at Folsom St,62,56,1,1963,Male
9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),59,S Van Ness Ave at Market St,4738,19,1,1967,Male
